continent,location,date,new_vaccinations,population,current_vax,f0_
Asia,Afghanistan,2021-05-27,2859,39835428,2859,0.0071770284481442
Asia,Afghanistan,2021-06-03,4015,39835428,6874,0.017255996345765384
Europe,Albania,2021-01-13,60,2872934,60,0.002088457305319231
Europe,Albania,2021-01-14,78,2872934,138,0.0048034518022342316
Europe,Albania,2021-01-15,42,2872934,180,0.0062653719159576939
Europe,Albania,2021-01-16,61,2872934,241,0.0083886368430322461
Europe,Albania,2021-01-17,36,2872934,277,0.0096417112262237835
Europe,Albania,2021-01-18,42,2872934,319,0.011103631339947245
Europe,Albania,2021-01-19,36,2872934,355,0.012356705723138784
Europe,Albania,2021-01-20,36,2872934,391,0.013609780106330323
Europe,Albania,2021-01-21,30,2872934,421,0.014654008758989938
Europe,Albania,2021-02-18,1348,2872934,1769,0.061574682885162
Europe,Albania,2021-02-19,1128,2872934,2897,0.10083768022516354
Europe,Albania,2021-03-23,3461,2872934,6358,0.22130685912032785
Europe,Albania,2021-03-24,2302,2872934,8660,0.30143400440107565
Europe,Albania,2021-03-25,5356,2872934,14016,0.48786362652257237
Europe,Albania,2021-03-26,2900,2872934,16916,0.58880572961300193
Europe,Albania,2021-03-27,1827,2872934,18743,0.6523992545599725
Europe,Albania,2021-03-28,13925,2872934,32668,1.1370953875028107
Europe,Albania,2021-03-31,19525,2872934,52193,1.8167142022754439
Europe,Albania,2021-04-01,16617,2872934,68810,2.395112452983605
Europe,Albania,2021-04-02,17023,2872934,85833,2.9876425981244261
Europe,Albania,2021-04-03,13010,2872934,98843,3.4404897571611461
Europe,Albania,2021-04-04,7386,2872934,106229,3.6975788514459436
Europe,Albania,2021-04-05,13826,2872934,120055,4.178829029835005
Europe,Albania,2021-04-06,14880,2872934,134935,4.6967664415541739
Europe,Albania,2021-04-07,10791,2872934,145726,5.0723754879158385
Europe,Albania,2021-04-08,10163,2872934,155889,5.4261253478151605
Europe,Albania,2021-04-09,8134,2872934,164023,5.7092505431729377
Europe,Albania,2021-04-10,6134,2872934,170157,5.9227604950200732
Europe,Albania,2021-04-13,13685,2872934,183842,6.3991027987416347
Europe,Albania,2021-04-16,10134,2872934,193976,6.7518432376100526
Europe,Albania,2021-04-17,10218,2872934,204194,7.107507516705919
Europe,Albania,2021-04-18,8065,2872934,212259,7.3882309861625775
Europe,Albania,2021-04-19,13029,2872934,225288,7.8417394900126487
Europe,Albania,2021-04-20,4066,2872934,229354,7.9832672800697821
Europe,Albania,2021-04-21,22075,2872934,251429,8.7516455303184824
Europe,Albania,2021-04-22,10923,2872934,262352,9.1318491827518482
